"lon","lat","anom"
2.5,-87.5,NA
7.5,-87.5,NA
12.5,-87.5,NA
17.5,-87.5,NA
22.5,-87.5,NA
27.5,-87.5,NA
32.5,-87.5,NA
37.5,-87.5,NA
42.5,-87.5,NA
47.5,-87.5,NA
52.5,-87.5,NA
57.5,-87.5,NA
62.5,-87.5,NA
67.5,-87.5,NA
72.5,-87.5,NA
77.5,-87.5,NA
82.5,-87.5,NA
87.5,-87.5,-3.23000001907349
92.5,-87.5,NA
97.5,-87.5,NA
102.5,-87.5,NA
107.5,-87.5,NA
112.5,-87.5,NA
117.5,-87.5,NA
122.5,-87.5,NA
127.5,-87.5,NA
132.5,-87.5,NA
137.5,-87.5,NA
142.5,-87.5,NA
147.5,-87.5,NA
152.5,-87.5,NA
157.5,-87.5,NA
162.5,-87.5,NA
167.5,-87.5,NA
172.5,-87.5,NA
177.5,-87.5,NA
182.5,-87.5,NA
187.5,-87.5,NA
192.5,-87.5,NA
197.5,-87.5,NA
202.5,-87.5,NA
207.5,-87.5,NA
212.5,-87.5,NA
217.5,-87.5,NA
222.5,-87.5,NA
227.5,-87.5,NA
232.5,-87.5,NA
237.5,-87.5,NA
242.5,-87.5,NA
247.5,-87.5,NA
252.5,-87.5,NA
257.5,-87.5,NA
262.5,-87.5,NA
267.5,-87.5,NA
272.5,-87.5,NA
277.5,-87.5,NA
282.5,-87.5,NA
287.5,-87.5,NA
292.5,-87.5,NA
297.5,-87.5,NA
302.5,-87.5,NA
307.5,-87.5,NA
312.5,-87.5,NA
317.5,-87.5,NA
322.5,-87.5,NA
327.5,-87.5,NA
332.5,-87.5,NA
337.5,-87.5,NA
342.5,-87.5,NA
347.5,-87.5,NA
352.5,-87.5,NA
357.5,-87.5,-2.64000010490417
2.5,-82.5,NA
7.5,-82.5,NA
12.5,-82.5,NA
17.5,-82.5,NA
22.5,-82.5,NA
27.5,-82.5,NA
32.5,-82.5,NA
37.5,-82.5,NA
42.5,-82.5,NA
47.5,-82.5,NA
52.5,-82.5,NA
57.5,-82.5,NA
62.5,-82.5,NA
67.5,-82.5,NA
72.5,-82.5,NA
77.5,-82.5,-2.74000000953674
82.5,-82.5,NA
87.5,-82.5,NA
92.5,-82.5,NA
97.5,-82.5,NA
102.5,-82.5,NA
107.5,-82.5,NA
112.5,-82.5,NA
117.5,-82.5,NA
122.5,-82.5,NA
127.5,-82.5,NA
132.5,-82.5,NA
137.5,-82.5,NA
142.5,-82.5,NA
147.5,-82.5,NA
152.5,-82.5,NA
157.5,-82.5,NA
162.5,-82.5,NA
167.5,-82.5,NA
172.5,-82.5,-0.930000007152557
177.5,-82.5,NA
182.5,-82.5,NA
187.5,-82.5,-2.26999998092651
192.5,-82.5,NA
197.5,-82.5,NA
202.5,-82.5,NA
207.5,-82.5,NA
212.5,-82.5,-1.27999997138977
217.5,-82.5,NA
222.5,-82.5,-2.86999988555908
227.5,-82.5,NA
232.5,-82.5,NA
237.5,-82.5,-0.920000016689301
242.5,-82.5,-0.0299999993294477
247.5,-82.5,NA
252.5,-82.5,NA
257.5,-82.5,NA
262.5,-82.5,NA
267.5,-82.5,NA
272.5,-82.5,NA
277.5,-82.5,NA
282.5,-82.5,NA
287.5,-82.5,NA
292.5,-82.5,NA
297.5,-82.5,NA
302.5,-82.5,NA
307.5,-82.5,NA
312.5,-82.5,NA
317.5,-82.5,NA
322.5,-82.5,NA
327.5,-82.5,NA
332.5,-82.5,NA
337.5,-82.5,NA
342.5,-82.5,NA
347.5,-82.5,0.469999998807907
352.5,-82.5,NA
357.5,-82.5,NA
2.5,-77.5,NA
7.5,-77.5,NA
12.5,-77.5,NA
17.5,-77.5,NA
22.5,-77.5,NA
27.5,-77.5,NA
32.5,-77.5,NA
37.5,-77.5,2.24000000953674
42.5,-77.5,NA
47.5,-77.5,NA
52.5,-77.5,NA
57.5,-77.5,NA
62.5,-77.5,NA
67.5,-77.5,NA
72.5,-77.5,NA
77.5,-77.5,-6.48999977111816
82.5,-77.5,NA
87.5,-77.5,NA
92.5,-77.5,NA
97.5,-77.5,NA
102.5,-77.5,NA
107.5,-77.5,1.25
112.5,-77.5,NA
117.5,-77.5,NA
122.5,-77.5,2.80999994277954
127.5,-77.5,NA
132.5,-77.5,NA
137.5,-77.5,NA
142.5,-77.5,NA
147.5,-77.5,NA
152.5,-77.5,NA
157.5,-77.5,NA
162.5,-77.5,-0.349999994039536
167.5,-77.5,-0.579999983310699
172.5,-77.5,-1
177.5,-77.5,NA
182.5,-77.5,0.769999980926514
